500 2000
127 439 13
445 276 4
171 105 12
226 227 12
423 396 11
305 134 5
67 306 11
333 410 16
490 471 3
303 304 14
146 32 9
183 497 1
253 360 10
398 340 5
299 481 7
235 102 15
481 397 15
200 435 3
82 83 15
249 250 10
110 460 16
409 107 19
1 424 13
288 304 8
346 347 4
193 194 10
484 180 15
79 80 9
366 172 9
436 30 3
193 137 6
298 489 20
115 280 19
177 382 6
173 1 1
453 450 8
327 229 19
186 180 2
208 400 12
473 388 10
360 373 13
252 253 16
62 119 1
229 230 8
259 152 16
66 21 8
356 357 20
145 388 10
179 260 15
80 44 7
105 146 10
3 364 5
297 144 14
124 125 19
169 459 12
312 313 12
477 430 13
131 351 3
163 89 16
188 356 5
392 318 11
478 479 15
332 381 3
196 400 7
20 431 13
281 212 12
66 473 2
41 391 2
399 400 14
209 405 8
469 470 7
9 304 14
389 390 11
202 203 12
331 431 13
207 364 19
79 266 9
12 31 1
251 473 6
476 398 6
69 450 19
6 7 11
20 21 6
480 381 7
218 219 1
19 170 17
379 380 12
4 478 5
138 139 5
344 345 17
73 64 10
411 80 4
114 130 18
455 1 20
84 320 10
173 174 3
418 419 10
310 95 15
475 449 17
295 279 4
247 379 7
284 12 19
292 344 17
362 370 4
146 145 15
71 2 15
487 284 16
320 473 9
394 395 16
102 185 7
383 469 8
312 411 20
82 397 5
350 66 19
498 184 8
453 138 10
404 493 18
55 56 17
236 211 11
420 59 1
361 136 13
38 55 18
169 13 14
8 101 1
101 102 18
96 383 3
328 136 5
415 346 13
400 351 6
392 393 13
301 369 17
241 310 20
411 10 15
24 143 11
74 75 14
462 463 6
61 62 8
301 225 9
231 372 12
20 202 12
144 145 7
35 499 10
67 327 4
101 257 12
49 50 15
388 299 13
118 119 19
431 110 15
125 403 10
86 393 18
262 263 6
209 139 18
331 332 15
418 368 12
159 151 7
159 466 19
249 391 4
166 217 3
26 269 12
191 132 11
328 497 1
65 319 20
72 172 15
1 282 20
451 337 9
200 463 12
467 156 6
3 4 5
487 488 15
123 124 20
184 488 9
10 433 4
339 340 9
391 226 1
281 80 15
179 468 14
156 37 1
239 128 4
255 256 14
124 1 3
192 291 8
181 182 1
125 292 11
331 50 13
446 264 7
432 470 15
359 360 18
281 282 6
456 457 18
323 304 19
199 104 3
497 216 12
329 26 9
99 81 14
363 397 14
229 372 3
134 110 14
336 496 9
294 295 11
285 286 4
398 399 15
44 38 14
40 188 17
153 154 9
419 191 11
240 241 7
387 155 13
450 361 2
5 431 3
297 298 19
268 118 12
38 39 18
373 354 18
121 122 17
25 280 8
297 28 15
83 498 5
145 318 14
331 293 13
180 489 18
101 245 5
155 171 7
144 447 16
402 278 16
131 413 11
10 448 1
283 79 5
457 138 16
105 106 5
367 368 17
400 270 20
27 302 4
484 424 11
265 497 20
423 188 4
370 11 5
336 217 12
140 473 19
229 201 17
157 308 9
490 458 6
397 27 9
48 357 1
491 203 13
283 470 11
100 246 4
160 220 17
393 248 8
251 61 9
155 117 13
469 430 3
391 157 13
374 74 7
377 268 18
463 221 12
428 429 17
350 262 8
354 147 19
277 386 4
29 488 20
259 77 8
131 132 10
99 129 16
377 378 5
265 266 20
490 491 16
495 496 4
12 13 20
364 159 16
44 33 10
93 473 13
212 294 17
131 463 2
31 231 19
393 112 17
285 273 1
408 133 18
125 5 6
373 35 4
305 126 13
366 393 12
64 231 4
378 379 8
81 59 18
400 246 3
17 268 11
219 303 8
348 14 11
7 449 16
352 23 1
312 321 15
207 208 17
479 480 6
315 72 8
351 352 4
168 117 13
242 243 17
22 23 8
359 176 2
416 417 14
33 337 11
292 293 11
412 207 7
421 422 2
52 470 15
262 348 19
344 237 12
188 189 12
95 2 2
283 16 9
185 186 18
327 24 12
382 314 5
159 445 15
394 464 17
367 290 14
36 246 10
318 443 11
394 488 1
339 330 15
61 370 12
159 160 3
119 120 20
247 225 7
314 315 17
244 226 10
496 497 20
105 169 18
325 326 6
167 58 10
302 303 4
149 150 4
405 394 2
436 156 1
140 296 20
488 150 20
474 471 15
7 8 12
152 250 7
420 214 18
35 276 19
478 396 5
364 162 1
42 282 1
381 496 3
129 38 12
32 9 3
354 355 5
467 468 16
120 483 2
494 169 7
225 61 8
45 256 8
395 396 18
460 75 12
147 393 16
382 479 3
237 101 4
467 24 11
246 247 16
358 292 11
90 38 18
170 417 19
311 277 7
35 348 20
393 136 2
296 176 13
227 65 11
286 246 2
222 134 8
273 178 4
438 439 7
374 489 12
352 489 18
120 371 3
217 2 2
256 403 1
134 67 17
282 149 20
354 263 20
373 352 18
69 131 12
134 135 8
435 436 12
28 286 8
30 226 18
112 113 19
445 263 16
90 186 9
