10000 30000
0 1100 13
0 4971 11
0 8141 7
0 5549 13
0 7976 14
0 4053 16
0 5410 3
1 172 7
1 6931 13
1 4549 10
1 9976 14
1 8607 7
1 6814 11
1 9771 3
1 4807 10
1 3210 11
2 1489 6
2 4118 6
2 2196 17
3 567 5
3 2403 7
3 3149 5
3 5043 11
3 8879 7
3 9821 10
4 3919 17
4 7790 11
4 1757 6
4 6529 20
4 303 15
4 7617 20
5 1226 19
5 2048 7
5 4951 9
5 424 20
6 8977 14
6 6678 12
6 7695 15
6 8870 15
6 6354 11
7 2676 18
7 4680 8
7 2792 8
7 2435 12
7 5442 6
7 1260 4
8 2742 20
8 854 16
8 4124 1
8 2246 13
8 9114 10
8 9349 1
8 5651 14
8 9394 10
9 9813 3
9 8265 5
9 4705 7
9 3450 3
9 7416 11
9 9002 9
9 7869 2
9 566 5
10 817 10
10 6530 9
10 1354 15
10 774 17
10 6866 7
10 8699 1
11 7479 15
11 5435 11
11 8289 1
11 9883 4
11 7598 13
11 6998 7
11 8536 5
11 2225 16
11 7505 1
11 8964 7
12 2160 9
12 151 19
12 9251 4
13 9175 9
13 7546 4
13 1780 1
13 9382 12
13 3578 5
13 8841 13
14 2438 20
14 817 13
14 9197 7
15 2188 14
15 3786 10
15 7170 6
15 7536 15
15 8362 5
15 2405 3
15 9470 6
15 6820 13
16 684 9
16 8000 11
16 3665 10
16 6091 7
16 7984 13
16 7705 16
16 3037 14
17 1559 17
17 2065 16
17 2762 20
17 3250 14
17 3801 16
17 8134 10
17 6135 13
17 7836 16
18 8431 6
18 2445 13
19 7069 20
19 3675 17
19 884 14
19 818 7
19 768 1
19 7721 3
19 1776 8
19 4267 7
20 1770 8
20 3516 5
20 2217 16
20 907 20
20 1645 18
21 523 18
21 5596 5
21 6329 4
21 6784 15
22 7607 1
22 5692 6
22 6784 14
22 1749 16
23 6164 4
23 1877 20
23 7881 19
23 2855 13
23 8337 3
23 3380 10
23 8023 20
23 217 10
23 2080 20
24 8840 4
24 5387 18
24 3272 12
24 2286 4
24 9208 10
24 1329 15
24 3841 12
24 3335 14
25 5780 4
25 3171 14
25 1587 2
25 7323 7
25 3414 18
25 1569 10
25 8900 19
25 4837 11
25 129 5
26 8215 13
26 1815 1
26 8325 14
26 4166 17
26 4437 6
26 1203 6
26 9738 17
26 2644 15
27 8518 19
27 5092 11
27 8985 13
27 7765 3
28 2760 10
28 5609 3
29 2911 1
29 9076 19
30 4924 13
30 1063 13
30 1705 3
30 5904 12
30 988 20
31 722 6
31 5820 20
31 1075 7
31 9890 6
31 9614 11
32 7437 15
32 998 17
32 3110 20
32 6704 2
32 8620 18
32 2156 17
32 2795 11
33 9974 2
33 1229 14
33 952 19
33 7989 1
33 6574 7
33 2973 2
33 2210 8
34 8008 10
34 841 16
34 2879 3
34 2754 3
34 9201 6
34 1001 2
34 1895 5
34 5869 16
35 6396 7
35 5592 1
35 2435 5
35 8844 8
35 3706 17
35 2771 12
35 528 19
36 9319 11
36 7045 4
36 6162 5
36 4817 19
36 9621 5
36 2273 2
36 9021 15
36 7255 5
37 7722 5
37 8977 7
37 6534 2
37 5004 7
37 3509 8
38 9028 12
38 4632 18
38 6927 5
38 609 8
39 9325 8
39 3030 19
39 1756 18
39 7960 20
39 2532 12
39 3300 3
40 9534 4
40 2523 4
40 6290 8
40 5298 20
40 5064 19
40 1842 16
41 4080 16
41 6478 8
41 1425 18
41 5693 15
41 3954 20
41 3650 6
41 9717 15
42 4377 18
42 8336 15
42 645 13
42 6114 15
42 418 18
42 2078 6
42 6047 8
42 6187 13
43 2564 1
43 2754 18
43 6655 10
43 3079 6
43 2307 5
43 7732 19
43 8644 13
43 8739 14
43 5333 11
44 208 4
44 1713 10
44 3060 9
44 7113 9
44 828 17
44 9487 13
44 7215 11
44 5530 15
44 1851 9
44 1594 7
45 800 1
45 336 13
45 6859 5
45 4030 1
45 6159 13
45 1941 17
45 1565 3
45 7477 10
46 4542 18
46 5926 10
46 3443 19
46 8864 20
46 3119 4
47 2071 19
47 3228 17
47 2439 15
47 9464 5
47 7939 2
47 5152 6
48 7240 19
48 463 17
48 5107 3
48 963 3
49 4169 7
49 5161 1
49 1941 1
49 9912 17
49 1646 9
49 8080 8
49 6118 7
50 6564 19
50 7486 4
50 4718 10
50 5361 3
50 7099 19
50 3501 18
50 4664 4
50 8126 3
50 4080 15
51 5278 19
51 1759 14
51 1531 8
51 3233 7
52 3509 1
52 5098 11
52 198 1
52 4011 15
52 7143 9
52 5471 19
52 1709 11
52 8116 2
52 8628 10
52 3868 10
53 7433 8
53 1090 6
53 5378 15
53 2665 4
53 8070 19
53 3755 6
53 1282 19
54 6298 18
54 8727 1
54 1989 5
54 923 17
54 8120 9
54 7033 9
54 2505 4
54 8595 14
55 2442 3
55 7668 13
55 79 19
55 2791 7
55 3836 14
56 3648 6
56 6245 9
56 8562 2
56 3396 17
56 84 17
56 6578 11
56 4506 4
57 4146 14
57 6063 8
57 661 5
57 9367 8
57 2329 17
57 6854 4
58 722 7
58 3015 16
58 9942 1
58 5074 11
58 9606 16
58 838 10
58 8970 3
58 7663 2
59 3253 8
59 2956 16
59 2608 14
59 9928 6
59 1503 6
60 9414 14
60 3594 11
60 8531 20
60 3081 9
60 7287 4
60 3300 11
60 9900 5
61 6444 12
61 5693 18
61 7372 7
61 205 17
61 1479 12
61 582 3
62 7005 14
62 1500 8
62 7422 11
62 3602 16
62 5546 17
62 7429 3
62 8450 4
63 5271 14
63 9064 10
63 182 9
63 4523 14
63 4136 14
64 7676 17
64 4661 9
64 2148 16
64 4420 4
64 7316 7
65 9638 6
65 1209 20
65 7605 2
66 9428 4
66 1199 2
66 2720 6
66 7704 20
66 2378 4
66 5990 11
